"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2024","74,219.44","74,672.38","74,758.11","74,136.52","","-0.60%"
"06/04/2024","74,666.66","75,657.68","75,669.76","74,592.74","","-1.20%"
"06/03/2024","75,575.26","76,091.42","76,209.97","75,495.38","","-0.40%"
"05/31/2024","75,878.48","75,078.43","75,953.74","74,989.26","","1.34%"
"05/30/2024","74,878.12","74,986.02","75,300.03","74,585.35","","0.06%"
"05/29/2024","74,836.30","75,617.79","75,667.31","74,760.10","","-0.90%"
"05/27/2024","75,517.49","76,089.66","76,187.45","75,485.62","","-0.61%"
"05/24/2024","75,983.04","75,266.61","76,248.76","75,263.06","","1.16%"
"05/23/2024","75,114.47","74,982.16","75,284.74","74,726.07","","0.21%"
"05/22/2024","74,956.67","75,246.33","75,513.90","74,835.49","","-0.33%"
"05/21/2024","75,206.77","75,158.68","75,482.46","74,958.10","","0.16%"
"05/20/2024","75,084.00","75,454.97","75,618.49","74,734.25","","-0.34%"
"05/17/2024","75,342.35","74,981.29","75,401.12","74,947.71","","0.55%"
"05/16/2024","74,930.70","74,744.65","75,029.03","74,450.26","","0.36%"
"05/15/2024","74,663.98","74,771.18","75,115.33","74,440.88","","0.18%"
"05/14/2024","74,531.19","74,022.18","74,575.31","73,977.01","","0.99%"
"05/13/2024","73,799.11","73,315.02","74,114.23","73,109.76","","0.98%"
"05/10/2024","73,085.50","72,888.93","73,449.38","72,876.84","","0.59%"
"05/09/2024","72,658.05","72,819.48","72,889.78","72,325.35","","0.08%"
"05/08/2024","72,601.82","73,079.18","73,079.18","72,358.19","","-0.22%"
"05/07/2024","72,761.20","73,062.52","73,260.09","72,707.96","","0.00%"
"05/06/2024","72,764.24","72,485.86","73,060.74","72,462.49","","1.20%"
"05/03/2024","71,902.09","70,734.47","71,986.43","70,671.72","","1.76%"
"05/02/2024","70,657.64","71,199.95","71,292.83","70,562.12","","-0.63%"
"04/30/2024","71,102.55","71,780.95","72,119.66","71,059.63","","-0.83%"
"04/29/2024","71,695.03","73,022.89","73,300.75","71,602.94","","-1.44%"
"04/26/2024","72,742.75","72,109.79","72,862.41","71,764.18","","1.07%"
"04/25/2024","71,971.40","72,254.38","72,593.25","71,700.54","","-0.11%"
"04/24/2024","72,051.89","71,472.87","72,414.33","71,467.02","","0.97%"
"04/23/2024","71,359.41","71,553.58","71,846.64","71,338.43","","-0.10%"
"04/22/2024","71,433.46","71,009.67","71,861.18","70,882.45","","0.74%"
"04/19/2024","70,909.90","70,423.71","70,968.98","70,186.93","","0.88%"
"04/18/2024","70,290.12","70,506.20","70,645.30","69,783.32","","-0.06%"
"04/17/2024","70,333.32","70,396.65","70,725.50","70,037.28","","-0.21%"
"04/16/2024","70,483.66","70,661.42","71,092.61","70,405.24","","-0.09%"
"04/15/2024","70,544.58","70,218.51","70,608.88","69,914.11","","0.33%"
"04/09/2024","70,314.72","69,857.15","70,677.30","69,857.15","","1.00%"
"04/08/2024","69,619.99","68,716.64","69,720.03","68,710.50","","1.76%"
"04/04/2024","68,416.78","68,210.16","68,439.37","67,912.35","","0.98%"
"04/03/2024","67,756.04","66,998.21","67,873.22","66,985.02","","1.30%"
"04/02/2024","66,886.26","66,793.38","66,959.55","66,573.63","","0.13%"
"04/01/2024","66,796.32","67,162.70","67,304.37","66,740.91","","-0.31%"
"03/29/2024","67,005.11","67,232.20","67,307.63","66,822.43","","-0.20%"
"03/28/2024","67,142.12","66,690.94","67,246.03","66,690.94","","0.89%"
"03/27/2024","66,547.79","66,003.44","66,607.88","66,003.44","","0.97%"
"03/26/2024","65,906.28","65,629.76","65,989.54","65,492.71","","0.58%"
"03/25/2024","65,525.65","65,412.92","65,656.50","65,301.74","","0.57%"
"03/22/2024","65,151.83","65,510.16","65,534.02","65,056.66","","-0.41%"
"03/21/2024","65,417.40","66,021.54","66,196.24","65,326.01","","-0.48%"
"03/20/2024","65,731.79","65,727.73","65,968.03","65,614.94","","0.35%"
"03/19/2024","65,502.60","64,955.94","65,624.73","64,940.18","","0.94%"
"03/18/2024","64,890.51","64,987.15","65,148.36","64,811.92","","0.11%"
"03/15/2024","64,816.47","65,309.79","65,353.66","64,759.61","","-0.38%"
"03/14/2024","65,064.27","64,079.97","65,205.82","64,079.97","","1.59%"
"03/13/2024","64,048.44","64,859.77","65,043.38","63,856.51","","-1.16%"
"03/12/2024","64,801.70","65,815.11","65,859.64","64,664.67","","-1.45%"
"03/11/2024","65,755.31","65,948.02","66,119.34","65,698.76","","-0.06%"
"03/08/2024","65,793.76","65,760.55","66,067.53","65,693.22","","0.29%"
"03/07/2024","65,603.09","65,673.80","65,874.15","65,187.69","","-0.08%"
"03/06/2024","65,656.62","65,757.72","66,150.95","65,603.88","","-0.11%"
"03/05/2024","65,726.04","66,126.70","66,134.85","65,500.07","","-0.34%"
"03/04/2024","65,951.73","65,695.03","66,007.44","65,532.58","","0.96%"
"03/01/2024","65,325.69","64,755.31","65,486.46","64,530.21","","1.16%"
"02/29/2024","64,578.52","63,827.25","64,801.64","63,827.25","","1.37%"
"02/28/2024","63,703.45","63,173.45","63,929.58","63,042.15","","0.77%"
"02/27/2024","63,219.10","63,450.40","63,622.00","63,055.64","","-0.14%"
"02/26/2024","63,305.93","62,915.40","63,732.50","61,849.67","","0.78%"
"02/23/2024","62,815.82","61,939.01","62,945.37","61,849.67","","1.46%"
"02/22/2024","61,914.34","61,741.57","61,952.10","61,460.45","","0.58%"
"02/21/2024","61,559.16","61,237.78","61,620.86","60,906.98","","1.81%"
"02/20/2024","60,464.24","60,576.38","61,237.51","60,420.84","","0.01%"
"02/19/2024","60,459.75","59,444.46","60,504.48","59,191.86","","0.98%"
"02/16/2024","59,872.96","60,787.30","61,173.31","59,739.47","","-1.88%"
"02/15/2024","61,020.06","62,394.25","62,394.25","60,926.86","","-1.82%"
"02/14/2024","62,153.84","61,635.62","62,432.26","61,635.62","","1.51%"
"02/13/2024","61,226.93","60,536.13","61,654.65","59,613.18","","0.26%"
"02/12/2024","61,065.32","62,444.76","62,634.38","60,647.68","","-2.98%"
"02/09/2024","62,943.75","63,291.62","63,305.71","61,781.76","","-1.87%"
"02/07/2024","64,143.87","63,955.05","64,196.62","63,927.29","","0.54%"
"02/06/2024","63,799.02","63,178.09","63,885.10","63,176.97","","1.26%"
"02/02/2024","63,002.92","62,536.10","63,075.30","62,448.72","","0.98%"
"02/01/2024","62,393.74","62,054.25","62,480.23","61,764.70","","0.67%"
"01/31/2024","61,979.18","62,072.82","62,600.12","61,896.01","","0.22%"
"01/30/2024","61,841.74","62,799.23","63,074.51","61,637.62","","-1.48%"
"01/29/2024","62,773.72","63,792.84","63,792.84","62,717.71","","-1.63%"
"01/26/2024","63,813.06","64,220.91","64,534.30","63,743.40","","-0.75%"
"01/25/2024","64,298.01","64,918.32","65,213.61","64,180.45","","-0.81%"
"01/24/2024","64,822.43","64,569.49","65,063.08","64,460.95","","0.57%"
"01/23/2024","64,454.22","64,121.46","64,658.17","63,549.61","","0.81%"
"01/22/2024","63,939.41","63,354.43","64,090.88","63,139.73","","1.04%"
"01/19/2024","63,282.23","63,351.07","63,911.86","63,214.86","","0.13%"
